EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.0011165142059326172,0,1,INITIAL_BUFFERING,Writing,45226
0.006470680236816406,0,1,PLAY,InitialBuffering-Play,0
0.00816655158996582,0,0,PLAY,StillPlaying,45226
0.4003875255584717,0,1,PLAY,Writing,88783.0
0.9808342456817627,0,2,PLAY,Writing,128503.0
1.8292639255523682,1,3,PLAY,Writing,177437.0
2.8494176864624023,2,4,PLAY,Writing,217761.0
3.7972378730773926,3,5,PLAY,Writing,255865.0
4.010258197784424,4,4,PLAY,StillPlaying,88783.0
4.76531720161438,4,5,PLAY,Writing,323047.0
6.795847177505493,6,6,PLAY,Writing,378355.0
8.010918855667114,8,5,PLAY,StillPlaying,128503.0
9.239745616912842,9,6,PLAY,Writing,509091.0
11.868542194366455,11,7,PLAY,Writing,577751.0
12.010222673416138,12,6,PLAY,StillPlaying,177437.0
15.422534465789795,15,7,PLAY,Writing,782553.0
16.01030945777893,16,6,PLAY,StillPlaying,217761.0
20.010880947113037,20,5,PLAY,StillPlaying,255865.0
20.315513372421265,20,6,PLAY,Writing,1008699.0
24.01045513153076,24,5,PLAY,StillPlaying,323047.0
24.037387371063232,24,6,PLAY,Writing,782553.0
28.01087498664856,28,5,PLAY,StillPlaying,378355.0
28.854875087738037,28,6,PLAY,Writing,1008699.0
32.01046824455261,32,5,PLAY,StillPlaying,509091.0
32.51407980918884,32,6,PLAY,Writing,782553.0
35.14652109146118,35,7,PLAY,Writing,1008699.0
36.01082944869995,36,6,PLAY,StillPlaying,577751.0
38.067343950271606,38,7,PLAY,Writing,782553.0
40.01041316986084,40,6,PLAY,StillPlaying,782553.0
42.74074459075928,42,7,PLAY,Writing,1008699.0
44.010411739349365,44,6,PLAY,StillPlaying,1008699.0
45.88222622871399,45,7,PLAY,Writing,782553.0
48.01038336753845,48,6,PLAY,StillPlaying,782553.0
49.93683457374573,49,7,PLAY,Writing,1008699.0
52.0110068321228,52,6,PLAY,StillPlaying,1008699.0
53.81956768035889,53,7,PLAY,Writing,782553.0
56.010470390319824,56,6,PLAY,StillPlaying,782553.0
58.555601835250854,58,7,PLAY,Writing,1008699.0
60.010491371154785,60,6,PLAY,StillPlaying,1008699.0
61.43172359466553,61,7,PLAY,Writing,782553.0
64.0104353427887,64,6,PLAY,StillPlaying,782553.0
64.59424185752869,64,7,PLAY,Writing,1008699.0
67.19515037536621,67,8,PLAY,Writing,782553.0
68.01043367385864,68,7,PLAY,StillPlaying,1008699.0
70.17137169837952,70,8,PLAY,Writing,1008699.0
72.01084542274475,72,7,PLAY,StillPlaying,782553.0
73.18373823165894,73,8,PLAY,Writing,782553.0
76.01086187362671,76,7,PLAY,StillPlaying,1008699.0
77.25866055488586,77,8,PLAY,Writing,1008699.0
80.01045632362366,80,7,PLAY,StillPlaying,782553.0
80.2687406539917,80,8,PLAY,Writing,782553.0
84.01112103462219,84,7,PLAY,StillPlaying,1008699.0
84.86519169807434,84,8,PLAY,Writing,1008699.0
88.01088094711304,88,7,PLAY,StillPlaying,782553.0
88.37547636032104,88,8,PLAY,Writing,782553.0
92.01102137565613,92,7,PLAY,StillPlaying,1008699.0
93.19992470741272,93,8,PLAY,Writing,1008699.0
96.01049494743347,96,7,PLAY,StillPlaying,782553.0
96.37920498847961,96,8,PLAY,Writing,782553.0
100.01030564308167,100,7,PLAY,StillPlaying,1008699.0
101.09353375434875,101,8,PLAY,Writing,1008699.0
104.01050043106079,104,7,PLAY,StillPlaying,782553.0
104.65442109107971,104,8,PLAY,Writing,782553.0
108.01035523414612,108,7,PLAY,StillPlaying,1008699.0
109.51121830940247,109,8,PLAY,Writing,1008699.0
112.01042366027832,112,7,PLAY,StillPlaying,782553.0
113.20981764793396,113,8,PLAY,Writing,782553.0
